,Unnamed: 0,id,desc,category,price,old_price,discount_type
6826,9286,959205,jäätis mochi kookos 0kg 0.216l 0.21kg,SH-4-1-6,5.29,,"
"
6827,9274,7018847,brandy imperial xii v.s.o.p 36% 0.2l,SH-1-1,5.29,,"
"
6828,9294,152547,saiapulber gluteenivaba schär 1kg,SH-13-4-18,5.29,,"
"
6829,9295,1357466,maas.-banaani-guaave smuuti froosh 0.75l,SH-12-8-35,5.29,,"
"
6830,9296,1002932,mesi kreemjas sireli 0.45kg,SH-13-10-53,5.29,,"
"
6831,9299,959204,jäätis šokolaadi mochi 0.21kg,SH-4-1-6,5.29,,"
"
6832,9300,812984,ar.veinijook bellissimo sobor 0.75l,SH-1-11-3,5.29,,"
"
6833,9302,959196,jäätis mango mochi 0.21kg,SH-4-1-6,5.29,,"
"
6834,9303,7250079,gas.puuviljavein sovetskoje zolotoje 0.75l,SH-1-10-25,5.29,,"
"
6835,9305,902375,suir sangaste 0.1kg,SH-19-5,5.29,,"
"
6836,9306,7259027,märg kassitoit linnuliha kastm nood 8tk,SH-7-1-1,5.29,,"
"
6837,9287,985233,jäätis pistaatsia wao mochi 0.216l 0.21kg,SH-4-1-6,5.29,,"
"
6838,9364,285318,juust mexicana ilchester kg,SH-11-3-19,5.3,,"
"
6839,9367,175033,tomatiketšup felix 1.25kg,SH-13-6-32,5.35,,"
"
6840,9391,7111512,kassitoit friskies sterilis.kass lõhe 1.5kg,SH-7-1-3,5.39,,"
"
6841,9397,161254,nestle nesquik 0.625kg,SH-13-3-15,5.39,,"
"
6842,9399,137483,päevalilleõli natura 1l,SH-13-19-110,5.39,,"
"
6843,9403,810927,vahuvein wines of the world medium dry 0.75l,SH-1-10-25,5.39,,"
"
6844,9401,951145,juust eesti light e-piim 16% 0.5kg,SH-11-3-17,5.39,,"
"
6845,9402,287882,juust eesti estover 25.2% 0.4kg,SH-11-3-19,5.39,,"
"
6846,9400,249144,juustupulgad pik-nik 40% 0.28kg,SH-11-3-13,5.39,,"
"
6847,9389,960303,õuna-pirnimahl karmelia 1.5l,SH-19-7,5.39,,"
"
6848,9390,960302,õunamahl karmelia 1.5l,SH-19-7,5.39,,"
"
6849,9387,7251425,lastešampoon johnson's baby 0.5l,SH-5-1-1,5.39,,"
"
6850,9379,790767,pall cars,SH-5-5-13,5.39,,"
"
6851,9372,184717,kakao nesquik opti-start extra choco 0.6kg,SH-13-5,5.39,,"
"
6852,9371,934052,pitsa salaami ja chorizo feliciana 0.32kg,SH-4-5-19,5.39,,"
"
6853,9370,963864,bbq kirsiribi,SH-8-14-20,5.39,,"
"
6854,9369,963865,armeeniapärane grill-liha,SH-8-14-20,5.39,,"
"
6855,9368,291450,broileri kintsuliha jahutatud tallegg kg,SH-8-9-25,5.39,,"
"
6856,9388,1003465,kookosõli rafineeritud naturalisimo 0.5l,SH-13-19-106,5.39,,"
"
